STT,Tiêu Đề Bài Viết,Chuyên Mục,Ngày Đăng,Phase,Link Bài Gốc,Đường Dẫn File Word (.docx),Đường Dẫn File Markdown (.md)
1,"Khu du lịch Happy Land Bến Lức: hiện trạng, giá vé và địa chỉ mới","Điểm du lịch nổi tiếng",2026-08-12,Phase 1,"https://nucuoimekong.com/khu-du-lich-happy-land-ben-luc-long-an","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_docx/001_khu-du-lich-happy-land-ben-luc-long-an.docx","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_posts/001_khu-du-lich-happy-land-ben-luc-long-an.md"
2,"Kinh nghiệm du lịch Nam Du từ A đến Z (2026)","Khám phá và trải nghiệm",2026-08-12,Phase 1,"https://nucuoimekong.com/kinh-nghiem-du-lich-nam-du-kien-giang","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_docx/002_kinh-nghiem-du-lich-nam-du-kien-giang.docx","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_posts/002_kinh-nghiem-du-lich-nam-du-kien-giang.md"
3,"24 đặc sản trái cây miền Tây nổi tiếng nhất định phải thử","Toplist; Về miền Tây; Đặc sản địa phương",2026-08-12,Phase 1,"https://nucuoimekong.com/trai-cay-mien-tay-nam-bo","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_docx/003_trai-cay-mien-tay-nam-bo.docx","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_posts/003_trai-cay-mien-tay-nam-bo.md"
4,"Cầu Tràng Tiền Huế: Lịch sử, kiến trúc và cách tham quan","Điểm du lịch nổi tiếng",2026-08-12,Phase 1,"https://nucuoimekong.com/cau-trang-tien-hue","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_docx/004_cau-trang-tien-hue.docx","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_posts/004_cau-trang-tien-hue.md"
5,"Safari Mỹ Quỳnh: Giá vé, khu vui chơi và kinh nghiệm đi","Điểm du lịch nổi tiếng",2026-08-12,Phase 1,"https://nucuoimekong.com/safari-my-quynh-long-an","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_docx/005_safari-my-quynh-long-an.docx","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_posts/005_safari-my-quynh-long-an.md"
6,"Khăn rằn Nam Bộ: Biểu tượng văn hóa & lịch sử 300 năm của Miền Tây","Văn hóa và lễ hội",2026-08-05,Phase 1,"https://nucuoimekong.com/khan-ran-nam-bo","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_docx/006_khan-ran-nam-bo.docx","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_posts/006_khan-ran-nam-bo.md"
7,"Nhà cổ Huỳnh Thủy Lê – Nơi lưu giữ mối tình vượt biên giới","Điểm du lịch nổi tiếng",2026-08-04,Phase 1,"https://nucuoimekong.com/nha-co-huynh-thuy-le","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_docx/007_nha-co-huynh-thuy-le.docx","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_posts/007_nha-co-huynh-thuy-le.md"
8,"Khu du lịch Lan Vương: Kinh nghiệm vui chơi 2026","Điểm du lịch nổi tiếng",2026-08-04,Phase 1,"https://nucuoimekong.com/khu-du-lich-lan-vuong-ben-tre","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_docx/008_khu-du-lich-lan-vuong-ben-tre.docx","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_posts/008_khu-du-lich-lan-vuong-ben-tre.md"
9,"Top 20 homestay Hòn Sơn sống ảo cực “chất” 2026","Homestay; Toplist",2026-08-04,Phase 1,"https://nucuoimekong.com/homestay-hon-son","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_docx/009_homestay-hon-son.docx","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_posts/009_homestay-hon-son.md"
10,"Biển Cần Thơ – “Mini Beach” Cần Thơ có gì đặc biệt? (2026)","Điểm du lịch nổi tiếng",2026-08-03,Phase 1,"https://nucuoimekong.com/bien-can-tho","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_docx/010_bien-can-tho.docx","/Users/huynhtronghieu/Documents/thericetour/nucuoimekong_blog_data/all_posts/010_bien-can-tho.md"
